Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,2.878732834,-1.479847658,-2.059796638,-1.680001512,7.334163269,6.299307285,-3.85E-05,9.149683888,-2.435180029,1.618026957,-2.255011021,6.362448548,-0.610743502,3.68870319,10.7236809,3.735152799,0.837487831,3.954439645,-0.704471567,5.372847337,0.416838325,1.736307725,1.888946828,4.936748436,5.104253346,2.239625929,3.448079674,2.849058806,4.102134797,3.253646277,1.148670505,3.837479575,5.469727377,3.588760183,2.372479192,3.873176275,1.588649797,1.302714695,3.35697459
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.798310323,-22.23635607,17.69810321,-5.109251174,14.70044629,-14.91632976,44.56295492,-6.375134495,-7.592323523,18.22478943,0.005267441,-0.100705134,-5.657217847,5.971751858,6.411059022,-4.41531138,17.45982481,5.942340398
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,1.959398617,-1.833986046,-1.320458877,14.9888347,7.39303386,-1.380202978,6.669899971,4.431584956,3.001002669,4.298817155,0.130343071,3.693849725,2.441449455,3.855750182,3.904468022,2.966501228,5.102679047,5.494702002,1.162156398,3.261998665,34.48322511,6.943893097,4.638988664,6.770699218,5.827822458,5.535999106,6.501656347,4.240388217,5.774412541,1.810246522,6.142579705,2.578905727,4.785705414,3.806825309,3.668153772,4.108692421,3.248517006,3.029822893,2.669130893
Angola,AGO,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.022842415,9.073096171,4.549134155,16.30310755,5.577322782,4.752971789,5.732631739,8.537911523,9.15619379,7.110377051,4.019669624,17.3236807,10.214245,3.887213455,0.470400353,-7.574241317,-4.400516734,0.803169739
Albania,ALB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.11227752,6.233793572,5.395329524,6.695426792,2.69306834,2.047752238,2.943582574,6.307945353,0.678565771,3.11850449,2.716325778,7.071481618,1.904877057,7.650025766,4.772922292,5.392682083,1.135027946,1.961838419,0.767592606,2.047520523,0.835138066,1.176745794,0.625909608,0.32971501
Andorra,AND,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,0.799232289,5.97353018,4.094167617,3.240187508,-3.40644984,7.104356994,-1.269662427,10.30915656,5.561475271,-2.113562954,-2.700329477,3.022634842,2.791169519,9.028465956,-1.067361352,3.690415263,5.588612156,8.304728534,2.804440703,4.132744418,9.328349092,-0.604383418,2.288734886,4.764459995,0.619349864,4.073002393,-0.344819431,11.27561203,0.985211983,5.734454841,2.554878098,-1.757449814,4.693177038,3.893664672,2.703108437,2.150969961,3.951311208,6.169546518,-5.115392927,0.931403191,6.565551472,2.549286937,5.734352115,-2.759667819,4.845411071,-1.101435712,0.164027568,0.232277417,2.28022017,3.095509113,4.316896164,0.298672941
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.210279333,-3.1166052,-1.970845088,-4.013585963,-8.641924025,-1.842344039,-10.89171323,-0.410620034,-10.80988502,5.33441619,2.271226285,0.517321737,-0.166131584,1.316529352,3.425463954,3.311009709,5.40133253,3.803836142,6.875276914
Argentina,ARG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,0.91748306,2.545519331,-4.255366374,4.444495961,-9.290894877,1.573616093,1.924221585,10.7147354,2.728396491,-2.747213096,4.719644089,2.444911363,2.784402317,2.86384178,-6.006531908,3.494103705,7.478221152,2.027512519,0.35831021,-1.69511856,0.178732596,-2.727992339,7.866173312,-8.217715239,8.480510723,4.093147897,0.187998716,2.425672187,7.277588547,5.552498334,-0.890091314,0.608914675,8.296077103,2.374349492,-1.765876735,1.491126224,-2.650506664,6.770418038,0.38332477,18.78847945,-0.52555081,8.537582928,-2.185821337,-26.10145648,39.52397782,-2.428483193,-12.87515309,11.47661962,3.104253191,7.541961722,-4.716943353,3.445064582,-14.58152225,21.26556942,-7.135722986
