Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.388728242,-1.583931148,0.802071154,4.447255409,8.091852125,0.270299142,4.146878436,6.401676287,2.077213614,0.213588778,-1.361221023,2.594668611,11.21030087,3.003508782,8.837008202,7.537496214,3.632463125,2.950278158,7.212970586,5.206522803,7.166252021,14.32774627,2.610909283,5.547944605,10.18304342,7.742790663,10.50815106,5.032499952,-7.490199988,5.045103023,-4.987574498,-12.74484215,4.386589528,6.37244931,-3.863207324,-3.704174325,1.250240757,4.895127852,-0.187511283,-10.12939222
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.958482294,-13.17006614,9.064798254,5.579277768,0.405708418,-2.315703047,18.5013245,1.672453394,-2.859512685,2.627191505,-9.718110231,5.519984821,6.373432055,3.013565578,7.664307564,29.75609258,-6.005117564,18.7258265,-12.75709784,7.977439425,15.38482314,2.388074476,-10.70377112,11.75928111,1.898404901,4.874115611,10.71089942,1.374530217,10.73999198,-11.92857386
Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75298871,150.0078229,-1.3,13.09000001,22.92999998,14.29,16.56,10.62,-2.650518889,-2.378932172,-5.124101337,5.199864504,-1.173900758,0.704632329,-14.68932273,-18.39552462,-4.166937205,1.234202926,0.821756116,-6.247025057
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.27443804,33.83347842,73.09678694,38.88130019,15.45616882,3.552368832,11.77325121,18.48386157,24.26685668,16.92742798,19.11220093,-4.625566998,4.711535916,19.19357967,6.674095139,0.293590347,1.588995515,1.152801289,0.969352997,11.34059715,13.24345523,4.025757879,2.635790105,-25.57689161
Andorra,AND,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.689841626,14.45644427,11.02134037,9.068684261,6.333738954,5.406035867,5.994747599,-6.810416701,5.230902153,3.463099778,9.926233194,1.391271347,-0.938244793,2.955863576,2.164701463,2.755855693,9.191564492,-2.857101959,
United Arab Emirates,ARE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.150408737,22.91019613,24.54438458,11.48225537,11.53124467,8.8320654,12.43522458,-4.29925556,6.259810321,16.06622423,17.45398868,6.093496332,1.802095287,5.190751818,3.405078588,-2.520460981,11.50099561,-2.931150678,
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-10.63859173,45.23846323,0,-8.196661333,8.928500262,16.39343134,0,-7.04215599,21.21207238,1.200104116,-9.930944205,2.029586087,13.97858999,0.235738442,-9.294158523,31.51765655,27.31777194,8.907269917,-3.200500136,-5.142862404,5.20390651,3.946552407,2.582605848,-2.591497771,15.55402385,-10.27034119,-3.481999171,18.71956561,7.430323721,18.01160325,-3.62414436,-1.029694439,3.983198679,15.29556898,22.52814469,7.646794889,12.17744082,10.62339306,-1.260277939,2.702391309,2.74099076,3.092955186,5.995368202,8.11415799,12.88683042,5.561203235,8.164451917,0.739874469,-9.347106431,13.89691362,4.148814784,-4.108311326,-3.520240343,-6.979167434,-2.77737294,5.317354108,2.615390952,0.645996251,9.102186606,-17.32684783
Armenia,ARM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.17575723,7.858054186,-6.880117022,-0.070105162,13.34303891,18.75948212,27.26303745,34.41957136,30.55543466,-2.504526895,16.28765383,-7.339083225,-3.508229849,-13.07998546,-10.43565536,26.49996998,14.89827663,9.135577359,8.6,6.4,4.9,21.3,19.3,5,16,-33.4
American Samoa,ASM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.952723535,-16.35220126,5.137844612,-6.674612634,1.277139208,-0.378310214,-21.39240506,-15.94202899,-11.68582375,4.772234273,-0.414078675,4.573804574,7.355864811,-1.111111111,-21.91011236,13.42925659,-5.285412262,10.04464286
Antigua and Barbuda,ATG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,4.984702283,13.54913917,-2.226960436,16.48897504,-0.263477206,1.452952831,10.96721143,4.801160924,6.519753705,16.42327691,9.671212049,7.48835698,2.015235178,-6.044802655,9.783020058,3.906923298,7.144042024,2.251810566,7.096231494,7.065883314,-4.855038441,2.362484001,0.51974269,7.631436964,15.43806394,3.783940268,10.02440725,8.450853008,1.037354503,4.669815868,11.25683865,9.454783271,7.410544786,9.48843432,4.41314554,9.960456293,10.88319152,4.579392984,1.915301642,9.891839114,8.642151027,-0.490692329,0.503883855,1.329014433,3.459555597,2.988318597,4.156448654,4.019527555,2.417885224,4.705703039,0.847768713,4.605174389,5.310459232,6.075245539,6.854067757,6.403864132,5.497191768,4.114643151,3.968158399,-1.741033203
Austria,AUT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,6.408084055,10.14509779,5.440721326,10.71102166,-2.399195095,11.05941065,2.3943147,8.72857004,11.32421252,3.681569,4.883444958,-0.084917994,1.583951167,8.320293364,8.954402076,-4.052242512,3.431828839,8.256938593,10.544071,8.572220451,2.937295936,1.319385745,-2.373160958,5.68808865,7.205393676,4.638487732,11.02782101,7.851484706,6.433959554,13.52458428,5.770997978,4.286218233,0.531493444,8.661071784,6.665106633,7.57617272,7.57180863,2.170667462,-14.36810806,13.13107325,5.935361677,1.437694619,0.640652896,2.887601514,3.04914319,2.98810577,4.898007041,5.138576975,3.417049975,-10.75917419
Azerbaijan,AZE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.79955419,20.34689829,29.19711108,14.8169485,13.45543151,22.98503553,27.05044044,10.46603129,0.768622945,11.80837863,48.9433278,34.31148849,47.53711281,7.795903646,8.133173742,24.19950141,3.594954938,2.199999693,1.499999812,-1.097297149,,,,,,
Burundi,BDI,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.69282149,4.356435796,-7.603415732,25.40406227,-4.144899567,60.34135186,-9.69622067,16.95319237,10.51447523,11.40979499,61.78664291,-35.59764773,45.91861473,-1.560548176,38.86664616,-20.18586856,-14.01683731,-11.90375907,23.22666674,56.68373289,-10.14636311,-1.230000002,-14.2546806
Belgium,BEL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,4.504870749,11.056462,14.12326443,3.705485395,-8.285391767,12.86701667,2.13993419,2.285601199,6.99617296,-0.150355957,3.391496117,2.778815454,2.626594169,6.471933235,0.332600417,2.737373357,4.966120446,9.632796457,8.151717084,4.573915401,3.05539079,3.666821805,-0.44231603,8.327624197,4.991947244,4.975139624,9.490563471,4.137779245,4.849271879,12.39693981,0.380176642,3.448369544,1.615343493,6.193385434,5.511088341,5.700622512,5.436045383,1.807624091,-11.27529437,10.4390846,4.631280749,-0.486850565,0.3526553,5.196763688,3.721674669,6.201858824,5.470995121,0.600339794,1.985267471,-5.459022175
Benin,BEN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-21.69824816,-26.50603504,9.836378175,49.25334778,48.00473175,10.13541911,10.42935499,12.22220762,40.09911307,13.42724568,28.03719328,4.672397639,-7.008818958,-0.919791279,0.656751756,-3.576470627,7.0680984,9.672730153,35.89674289,10.84573916,9.191892103,-25.90433686,-27.4587142,37.20177708,27.66798475,-22.38974019,-6.22324124,-18.20435368,1.954903052,74.9422708,17.29396971,20.97810812,13.49644804,2.449470248,-1.757656533,-2.782511249,9.462931858,11.0855207,13.78838051,-10.56854828,4.788231071,10.02367154,1.797845922,-5.209084538,10.03276098,-0.295107913,27.23490038,10.09265441,-4.864682634,4.797788941,-9.710690975,24.09569718,22.73221851,24.94269045,-20.09590702,13.48128014,7,5,8.614557869,-24.96500563
Burkina Faso,BFA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,3.336678519,0,29.02927095,-5.00218841,13.16278703,1.275034497,34.48132875,-7.691148833,7.404739915,-1.722985664,-7.89393852,4.761902096,46.00627133,24.02866574,-9.88745997,13.15822405,-13.95344847,-21.6213866,13.79227347,-1.082669944,5.054873225,25.43044222,-3.199681638,-18.10628327,26.90590341,-0.413184867,-12.86871299,6.857965323,38.19975409,-0.099930718,-18.70943984,7.080284586,35.68018218,-8.173272774,4.170264594,-1.407782045,-1.878388321,8.773619014,15.5591835,6.540388889,19.78005531,7.079938826,8.255064656,33.50104941,43.17352574,23.51072767,0.197620287,19.45233439,6.56240515,1.549355519,2.616476602,8.54510612,15.19770684,-1.926682912,
Bangladesh,BGD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-11.50110565,20.79654364,4.830608893,3.742608147,-5.189871729,14.33244558,-11.76621835,4.000185206,4.597773716,10.48184611,-27.61810098,-22.88909462,85.74529786,-29.44027276,12.17450361,24.76786434,25.45434968,-7.668830478,16.50449285,0.955083045,-31.76700648,-4.455747303,9.235929925,-0.944640129,7.898771827,-1.149299586,1.90038376,10.67962676,8.901183453,17.78642763,-3.091548158,21.84559187,16.39291609,3.678369083,30.72410679,8.075394547,14.31777892,12.26754874,2.250689242,14.39815672,14.90388965,-0.164097464,-1.696385582,85.61331211,43.00126706,25.47630978,12.97560308,7.080609288,0.028504479,0.941532182,29.33912475,12.53225869,2.451884337,3.201149273,-2.829990167,2.196749643,-2.342614005,8.088338589,10.93785588,-18.23909293
Bulgaria,BGR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.904975169,-2.006335121,6.421787769,9.25301474,12.58067347,0.656089787,10.28858339,-12.74791076,-14.03202115,-71.35485564,-45.51985485,5.702079033,2.396894669,2.768353683,29.60461778,29.95191228,7.096929176,-17.36830075,-17.72318327,-17.16072185,1.214920834,8.857678024,6.462496723,24.5079021,9.086311505,7.663171398,19.62264322,2.477859798,-11.71557646,11.04634031,12.5760876,2.031360581,9.626919969,3.122561353,6.448874172,8.616763675,5.752169282,1.736682789,3.974485273,-12.06698591
Bahrain,BHR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.457476458,13.79018747,1.022051482,4.641755548,4.718046947,1.958064934,0.452073683,0.679068706,0.34942271,2.629939915,30.38940949,20.80405381,-0.663753166,-4.067687692,-0.845159187,-2.756663302,3.689753619,3.602858024,0.277432316,
"Bahamas, The",BHS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72824754,-6.024438716,-1.185503679,4.136350592,-0.832937381,2.582561519,3.615221406,8.444410699,5.3533575,4.8309717,5.194468237,0.521224908,0,0.675497903,11.69711705,-2.140177555,1.944134018,-1.425616296,-2.201162868,-3.176243231,1.274627986,6.282057,7.205092427,0.86729314,-5.445950404,1.393153514,-4.346693113,-2.554452041,11.71901082,-1.832834066,-43.74163179
Bosnia and Herzegovina,BIH,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78422478,-5.176899522,13.09664368,17.47858502,15.72809481,18.772041,12.38160399,1.145217854,-3.176011111,13.90052379,4.644009558,0.107439302,7.856493015,4.163053111,9.782805636,9.367880373,11.82100482,7.044894237,0.424666726,-15.95602627
Belarus,BLR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.099997743,-34.00000482,-22.39999128,-1.199999704,-22.00000077,7.799987761,33.90000453,-8.299998413,6.999995186,12.70000607,13.09201616,8.405623596,8.592715219,13.50053364,-2.699979988,8.17246513,5.600577119,2.100095651,-7.832240123,7.6691956,30.40010672,11.1999874,-14.60000081,4.566058743,2.101643828,2.599959116,7.45546794,3.800193842,1,-3.099999979
