Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72575929,0.384741867,2.068876182,2.503717902,4.009003875,3.545963542,3.392966631,2.903797705,2.064980305,2.52921564,3.51515346,3.094578422,4.791647248,5.597530346,5.519295672,7.210528997,5.775122981,3.174222993,2.334453629,5.451163757,4.427381081,4.588514031,4.684761813,3.102901262,3.620044207,1.819476294,2.188953094,1.947891497,4.711461492,-0.952731689
Afghanistan,AFG,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-7.561280235,-16.26649022,4.286380531,16.6296915,-3.93631184,-4.009890551,3.892221099,-5.514983861,15.51785646,5.098030781,10.44146461,-4.786184005,-7.615274758,4.520464381,15.3770846,-0.67145253,1.680866338,-2.87044305,1.671995636,36.0026145,10.90095748,8.102357221,4.515223497,10.21790726,-7.02155574,27.30190694,-8.087634825,13.33997747,4.219544681,0.042935375,1.879646083,14.04694538,0.887812358,1.575416846,-3.041970809,0.452777206,6.088337313,1.841183843,4.795597608
Angola,AGO,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675322257,-0.275188861,6.885493966,3.389092265,6.012084864,7.465628571,6.777203449,9.51046621,3.869929971,4.244582938,15.18135892,6.88548492,12.22764051,3.915829056,-0.209660136,1.842463673,2.330867713,-3.051033256,-1.599429623,-6.142695752
Albania,ALB,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.45022967,-5.744475724,2.609638977,4.365422351,4.589719811,6.951777984,9.014667378,3.764307516,5.398898452,5.752190674,11.61779163,9.475040484,1.049631954,1.947863418,1.631279657,0.125774056,1.967292067,3.247505751,0.89882314,2.437850992,2.531195434,2.899771799,3.124960333,-1.882761344
Andorra,AND,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.138031417,3.017152533,3.89425959,6.469615257,5.308029194,7.423602711,7.965398073,7.94155814,0.388503129,-0.023938412,6.884192177,4.86519874,4.666685014,5.859853793,-0.9789188,-0.102406965,3.746206465,2.473484211,2.823975336,-1.608742503
United Arab Emirates,ARE,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.993637551,2.384902208,9.379666001,1.509602635,12.81190512,10.9814033,11.90374421,-21.88907259,-23.36720651,11.24474456,-9.136260235,10.54306583,9.399304113,-15.42992021,0.913909241,9.976531343,3.236439961,9.961061933,-9.34664585
Argentina,ARG,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,,9.710620934,-2.503629264,-2.854193999,10.56710104,8.643285806,-1.084579527,3.046136116,4.632510722,6.347019837,2.074607636,5.153758073,1.477665432,4.554259756,7.114518929,-0.020740271,-6.880842548,2.27309354,-1.110910834,13.53385849,6.383087877,-3.58395764,-4.578810493,4.236646347,4.158879881,-8.046082512,9.264310103,1.745767828,-4.128783889,-5.998671121,-1.590232275,14.7830201,13.20640141,4.546958109,5.149867317,-3.575988682,4.985947119,8.063113349,3.457164074,-1.298653426,-0.464965084,-5.157245884,-12.83059292,6.969158752,8.349126887,7.755403551,9.869803995,9.124878259,6.932277332,-3.87974976,10.32084249,8.674387481,1.374381593,3.876926322,-3.311805496,4.158068512,-0.740187841,3.91963079,-2.190792742,-6.345446296,-12.05115529
