Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.773311041,11.34442677,8.422734381,10.02857668,8.358186645,13.36847581,7.028894671,6.410342306,-21.97626374,-8.35753033,-0.640216069,-33.87680384,-11.42647075,-9.298634264,-3.415822098,-6.417382299,3.47230734,4.488801222,5.780717015,-2.26411985
Afghanistan,AFG,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-15.6600487,-19.18573218,-24.87410079,-9.737162026,-2.526754533,-9.377275074,3.990568701,1.271607313,13.162023,-0.72808231,-0.622849609,6.210040776,0.181060211,-5.247272998,6.101853723,5.817709132,2.050913366,1.194274844,6.10725765,-17.03749043,8.100624225,19.46809577,-14.27762864,4.732882411,30.11116123,-9.096299841,2.772505691,1.392482697,8.239953307,-5.668871828,15.62857605,1.353276054,10.50565497,-0.886262096,-0.084619456,-3.362584934,10.66653237,4.61334578,-8.593466461
Angola,AGO,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0312925,6.98867368,13.96599999,17.14000001,12.19600001,4.239999997,12.13,26.4350907,3.66622755,-9.053843305,10.5611768,7.166198249,1.646424292,3.451684152,-1.906823974,-19.5369242,3.00000001,-5.541884515,-0.948264218,-1.431433726
Albania,ALB,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7847798,37.54710676,66.20444996,24.48043914,5.818802576,-7.753917621,5.939840663,7.666714172,3.019242086,1.216149565,16.10872899,1.281059061,-7.470268869,6.257368687,-7.912146234,-1.777516902,-5.645566237,3.179020047,0.308726602,4.37378576,0.600137383,1.777312273,
Andorra,AND,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.842885835,12.84447998,6.382451822,10.65852238,9.525242762,15.14925933,13.28646375,10.49550069,-14.77341886,-1.382801625,-0.471091032,-17.93922927,-2.872765284,-1.368341121,4.588868739,-2.245682465,2.535061521,-2.259643864,5.154187153,-14.85704538
United Arab Emirates,ARE,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.562595402,6.903591548,2.889154815,18.2238933,14.85883697,39.43635533,0.02440194,8.93776501,-9.162806308,-1.649026109,-1.018858995,-1.384567198,23.15462607,13.6197115,3.77353197,9.858880052,-11.54340413,-14.43993884,3.902253834
Argentina,ARG,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,9.677371587,-8.823489702,-17.74200933,28.43137606,3.81683904,-3.6764047,3.817114198,8.823648508,22.97304156,2.23076104,10.93183128,1.017185369,-4.700043209,1.1072531,1.792058461,6.943386029,20.89644443,-15.92291477,10.21156122,8.107009618,-14.97593807,-19.94288419,0.399509091,-4.134388605,-14.10471188,11.04077665,12.93591996,-3.519730869,-21.60156015,-16.85008917,29.94167856,32.64346653,14.36393421,12.63552741,-12.63544372,13.10324684,16.59276688,4.899377181,-16.92166901,-3.807910122,-11.93354813,-37.59448849,40.19152836,29.61340872,14.79633156,6.86650709,20.33006024,6.683445417,-23.07154382,32.54212125,16.09273993,-11.18506718,4.669025524,-6.223530585,4.556709021,-5.083992419,15.45235257,-9.847098059,-16.70536709,-11.2087586
