Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94578301,24.84606073,24.31933717,27.07337286,20.64524079,23.73027422,19.32790224,12.01669065,14.46185738,17.09651542,-2.041702048,13.16330511,2.416150395,13.73219373,10.89649005,3.549894835,-1.698071867,1.888913379,6.821434035,10.56325321,14.86785151,15.35605989,14.15303855,11.31279938,,
Africa Eastern and Southern,AFE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.40457762,15.00456248,15.28565594,17.50391495,16.7669373,,,,,,20.22706623,16.11370193,19.92673163,20.1196058,21.57181439,21.99223459,23.15118908,22.77423316,21.75651595,18.95283545,20.42777151,20.7566996,19.23286276,19.08367195,20.18658427,18.95480442,19.84507542,19.97708171,19.83010105,20.20734934,18.65381854
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,66.05333317,64.06667743,57.45427758,47.12343253,38.07637455,40.79731054,39.73026328,37.18080843,48.93959853,45.36940023,43.5034509,37.67541462,35.36068786,33.91606919,34.10942832,31.97665917,33.73379293,28.28238498,37.33841847,41.53366878,29.50457717,25.74070208,24.91779918,26.86561024,28.62874751,37.92340556,21.40379012,25.24156808,20.54663585,20.57059098,20.91022059,26.86909765,18.04740485,20.83193796,18.09329145,16.49070562,17.95257033,18.91958375,21.21956526,22.68977752
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.20787592,14.48022216,28.87681621,26.05546064,33.53599818,41.18765332,43.45458346,41.49897042,38.65885832,27.65786789,36.98734332,37.88854989,37.23299939,32.02988195,29.96672177,25.02132654,24.42924754,23.35194559,25.1731937,25.52484772,17.96732701
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000043,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.10983688,16.35751101,16.13250568,5.572394393,17.33743597,14.89957935,25.89134918,28.92521879,25.51671658,26.25826888,29.38483682,30.10650202,29.06894625,23.95429402,17.73092352,17.33589454,19.96761992,20.54545578,19.62510367,17.74129421,15.92938749,16.8639814,17.04907325,16.52936416,16.58690156,14.4998255,11.07274265
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.36615389,41.97547519,41.61879148,44.91580871,31.60955495,36.03812691,40.93468185,39.46618972,37.65004869,34.49466409,25.30658795,25.17438667,28.26388065,31.16041171,30.60850133,
United Arab Emirates,ARE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,34.04870673,32.50771112,30.17940548,25.21609673,22.98843021,19.88025687,18.35859879,18.53762718,17.62226268,17.68614515,14.78330546,15.19790162,17.60908321,13.6301814,16.04337666,13.56185603,13.65162817,16.25052791,15.64836245,16.51163227,17.13007736,16.66428243,16.12973433,13.66191638,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.39021435,22.21114752,21.10145807,18.29532296,17.30528056,17.34843039,16.05516478,14.95436211,15.75200992,14.28730262,14.63637104,13.07666717,11.40516048,14.28529512,18.6167506
