Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,-11.25661676,14.06591619,-9.487502535,0.743592213,6.41463183,17.10646825,2.215053749,-2.578431157,1.982910351,1.756162051,5.615217592,12.73388901,12.99413047,7.604503876,8.218755328,4.157725541,-4.400543471,4.102988605,11.99884477,20.22902344,8.527251143,10.44963078,10.65859215,11.81540223,9.791057605,8.795155393,-6.596352684,4.394785869,9.130698713,5.806718364,4.323168625,2.284373017,-1.48358209,-6.762795046,0.964153214,2.270520511,3.587956015,-9.356800108
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21991893,-13.68364025,17.92266666,-13.87868891,-7.230997399,34.48017451,25.3970453,-1.96897583,-23.04865435,7.900712849,38.39061268,4.446760153,37.92411583,-24.66850119,25.78897303,26.76040091,23.56326181,-11.46413452,-10.32415663,-3.100051748,-1.150859639,-11.01437222,5.500555763,2.231667059,-8.468562033,-2.103331359,2.030870419,20.46696386,14.91279933,-13.38797595
Angola,AGO,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.3727416,108.6844035,9.69,7.129999995,11.95,6.349999998,7.600000006,18.17,-0.474434607,-11.73823808,10.95004181,-0.089458105,4.378649596,-5.158482266,-23.91032123,-24.73890109,1.459979304,-16.90963923,-0.018072289,-23.48090016
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.690861511,18.97586914,15.42478812,49.54039913,15.22186206,9.816380373,5.127608835,8.21622126,16.19520526,8.706127045,19.38567926,3.622386071,-1.140245799,-0.572949576,6.186271288,-6.694147375,-0.643629367,4.258791671,-2.875206439,6.920121457,8.355809399,2.396964121,2.289642082,-19.89615579
Andorra,AND,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.138036279,10.42810236,19.41866212,16.60593859,15.05990055,24.49194512,17.93155751,-8.852937686,-1.234543749,5.241241236,10.49566231,5.136243256,4.267828987,-4.002035746,-6.010395636,7.664031989,6.318669944,2.14915098,
United Arab Emirates,ARE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93833318,15.98871913,29.73793886,14.93464501,18.19529211,34.46050775,21.39811034,-15.65429523,-20.38332005,19.00753522,8.564251627,8.026163213,9.864791776,-5.721824975,2.653022391,2.952892446,10.9360126,3.550756771,
Argentina,ARG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,18.17689285,0,-23.08339691,20.01239287,0,-8.331144355,0,9.088304088,24.99359768,-18.84380878,11.91372978,-4.869764927,-1.309537309,5.428297733,1.830505856,-21.01109219,37.12672186,-5.186910388,54.59448436,46.35622932,-8.23892425,-42.5799727,-6.923725725,4.705111378,-13.03792965,17.86744214,11.48516769,-9.208045176,-16.51668796,-1.899916979,80.05569905,65.68396139,14.80660913,21.13103335,-9.806630116,17.52909091,26.87155311,8.413928637,-11.26676921,-0.157568635,-13.94658207,-50.05955393,37.56537155,40.12178003,15.84823189,10.99186291,19.6402843,13.56218699,-18.41643939,35.20441734,22.02861658,-4.728263216,3.882880978,-11.47999491,4.711318807,5.824163031,15.58379561,-4.461337004,-18.98930229,-17.86505815
Armenia,ARM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.2770162,-0.423170857,11.91121502,-5.178774925,-1.700872518,7.02325909,6.868041191,18.24892289,27.40846504,-3.2688269,14.1568258,3.760967257,12.99479055,7.278112445,-19.15362406,12.80000405,-2.299967807,-2.732459204,0,-2.7,-15.3,6.3,24.6,13.3,11.6,-31.4
American Samoa,ASM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.664767331,-12.90630975,0.109769484,-3.728070175,-3.758542141,2.130177515,-12.97798378,-11.05193076,-7.035928144,4.025764895,4.179566563,11.88707281,3.585657371,-3.205128205,-11.52317881,-0.598802395,-5.421686747,13.37579618
