Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,-0.897273714,5.0255044,-0.745424946,0.263037432,0.924891641,2.418888935,0.759241089,-2.975488031,-3.931415837,-3.579570435,-1.149666238,2.021732738,1.648321394,3.017203936,2.083137916,-0.062392571,1.778388541,5.351954606,1.832704513,3.859301985,1.846336491,6.856124824,8.450321989,7.452665692,8.796773125,3.289613828,-2.479841677,6.342518379,2.912777733,0.531101562,2.975303218,3.734173638,3.024440909,2.213029013,2.650898341,2.951532196,0.077514545,-5.001920904
Afghanistan,AFG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26969287,17.47607589,12.99172357,13.66754349,7.633126175,5.741817911,6.107141207,6.270601334,9.807670419,6.394070954,5.060990709,2.765780538,4.171121322,-0.765914439,9.206792438,11.07464165,4.848868092,-4.630253171
Africa Western and Central,AFW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-8.657964293,-13.18186693,3.59847222,4.252725042,-2.847225516,2.69058656,5.217824446,1.298019707,13.83226534,-2.533902366,4.189510265,-5.11537012,-3.699560451,-1.452281536,5.176103829,2.759216551,1.348388421,-3.583980955,5.12620245,4.683119334,2.459412892,9.065968593,2.343326302,2.07930441,-0.994986167,-0.564684523,0.431403806,2.994371911,3.482494972,8.410669389,3.627173179,2.857667377,5.185709192,-1.179679447,-4.926034938,4.072183758,3.151764571,3.626413853,-2.74637904
Angola,AGO,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086642408,14.80095444,20.49593151,13.19335073,19.79890087,9.566770776,-3.897418968,2.530077367,-1.413861751,10.6852088,3.199417421,-1.619390317,7.493698753,1.010274187,-1.648258575,-3.607715257,-10.68312008,-10.18983046
Albania,ALB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.4524588,17.74607513,19.28651248,25.43213916,20.24359383,6.744508859,12.71417735,7.202178687,6.003946204,9.202913281,4.582744757,6.946147432,1.862020014,3.399838154,2.26437555,-6.140662143,2.717204488,-3.318558489,2.572022631,1.896475503,1.793704688,9.794542678,0.823463543,-3.587420128
Andorra,AND,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781175773,-2.675064399,4.272468694,8.347693957,4.027323508,5.698335909,1.926412352,5.865621049,-2.085515126,5.544273494,7.122894686,3.516098618,1.167539205,1.858522141,3.229372687,3.486522341,-1.016659221,2.02141858,0.786091109,-6.061892386
United Arab Emirates,ARE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.698172904,7.091538735,9.35979228,3.828416599,13.81931343,-2.682031468,2.573258144,-6.512338396,2.466745782,8.482909035,3.46221419,3.018753426,1.625871309,5.577022416,2.350449279,-0.241996754,1.753388913,2.5617972,-5.486361163
Argentina,ARG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,1.109731688,4.231080069,9.474208411,11.5461698,-0.930250743,6.329266011,3.123893826,0.805741918,6.037503261,-1.09100757,0.555648944,8.629089876,-8.334899044,7.541405248,-1.288950459,-10.66333427,-3.20938122,5.377687815,0.674286433,-8.651011895,8.63026418,3.356776926,-3.55197618,-8.588761141,-5.325307987,10.68745987,11.01675292,5.470297026,6.206351238,-3.551436932,6.193445871,8.371139609,1.946101648,-6.622489521,-2.195351962,-5.191488588,-11.35637722,14.16136073,10.81533519,6.534384086,8.664922353,6.033347427,3.072042814,-6.433340906,8.80489749,5.830917839,-2.201126631,0.551194177,-3.462035016,1.389808314,-5.825158741,2.302832903,-3.049315189,-4.79014112,-9.3690531
