Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,10.2836541,-1.085708234,6.532646647,5.622711619,9.105633696,7.381768838,-2.716784363,-2.623229533,-2.053774811,-1.429697061,2.861627279,6.288339293,6.334839,-3.04142737,0.199813296,6.290893632,0.951606736,2.343747323,3.026011719,3.633381172,0.482403951,-4.647565851,-8.20168344,-8.214363558,-2.330016098,1.935351329,6.27950724,2.201022579,-0.45794584,-1.113987314,2.574704936,3.781154689,1.236156087,2.390754679,0.028879862,5.047453168,5.395181756,5.813372808,5.360685738,2.543377522,-5.097168981,6.503046113,4.674432124,2.741006854,3.257664198,0.626126164,3.638314837,3.770327166,2.016207066,2.892608179,1.504077667,-6.470366679
Afghanistan,AFG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.697849883,4.160772742,3.279537341,3.194608045,4.537191732,2.34623542,5.296290218,3.840391435,3.057431242,6.035906734,2.285861967,-1.836502527,0.409391083,1.087939525,18.12296895,22.92105994,6.44963648,-3.537012389
Africa Western and Central,AFW,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-12.11807022,-26.12551311,-6.136138449,5.270617311,-7.795881675,14.4575639,13.40659521,-13.70078154,6.002252467,7.768325335,10.99936588,-16.25900947,-11.08751423,-11.46525681,3.633896572,1.944580028,-3.141129631,2.426095136,1.151800075,4.006765085,15.08873505,-7.161044641,0.425356404,6.68123064,0.953000184,3.233513682,4.289751608,3.114376263,2.217499797,11.86496018,9.267162974,13.60304201,9.717532046,0.235590712,-1.562292396,1.993438892,3.027201773,1.374632769,-1.822226366
Angola,AGO,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.351670534,16.57560197,6.125295094,6.548329831,2.016556315,5.914604603,6.803231358,9.555072733,9.081099902,9.56253009,7.724253632,-9.916946114,12.02433644,11.63811067,1.179531995,4.764332022,0.783031777,2.879987931
Albania,ALB,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.30930234,41.39338865,12.95929593,6.938227395,5.75758976,4.178212678,19.30234432,6.021251476,13.88564382,13.02857464,12.6544724,-5.029134567,2.893908535,11.57643339,10.47094856,-15.65725149,9.845208286,9.373444591,4.961580385,4.541040235,12.43100523,6.259228618,5.518752802,-5.727746749
Andorra,AND,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.223680841,4.03146003,5.063922906,5.599206772,4.308263687,4.713787177,6.360781864,-0.615942189,4.988042698,4.020794634,2.328558393,1.473620149,3.30945508,3.294614921,3.462602941,2.219411173,1.860813368,0.063129278,-5.61945462
United Arab Emirates,ARE,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896797895,4.287614935,7.916620108,6.572405647,7.26056429,1.872864158,10.26768381,-14.05268022,2.391534763,8.411016851,1.913478426,6.004022761,3.820416348,5.55759734,5.032535636,8.177916922,-0.851832976,2.188340293,0.191952089
Argentina,ARG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,0.873654252,5.542941848,5.634346815,11.54845627,-2.571708306,6.165981747,3.994579053,3.966241238,5.874109764,-2.552778523,-3.033736915,7.813686717,-10.52262254,9.944679009,2.217321514,-12.07084826,-2.815216946,6.817901268,2.474911288,-9.449930866,10.05127733,1.07902574,-4.894878569,-7.487259947,-5.407057144,10.3761658,10.18871388,3.531083822,4.499636063,-7.164586603,6.451877751,9.151433513,1.848756016,-7.928867319,-3.823218329,-7.36198741,-10.95522078,15.967188,11.97605611,7.423159239,9.099786373,7.533967506,3.62110045,-7.259824385,10.90794207,7.666609032,-2.913326286,1.503531672,-5.054047385,0.765932391,-5.601139739,2.57407049,-4.804922545,-6.220388251,-7.760650295
