Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,1.779234888,2.211836972,3.884381155,-0.289004054,1.554944392,6.118289244,3.551695195,2.379412707,2.49864338,1.592291388,0.457208556,7.088970467,2.672006794,5.031705207,2.797704766,2.869928214,3.41063877,3.948396269,3.113592329,4.100018771,3.757263884,5.257381911,5.54941642,6.127803625,6.805459037,7.570440437,5.391564262,3.277524471,4.188738783,4.93419747,2.440110348,5.105640001,4.224985544,2.478511933,2.499047206,2.194391088,2.368449145,2.471363552,-2.853887778
Afghanistan,AFG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55182287,12.7878433,5.388267444,6.731003543,19.68114686,14.85444913,17.98338209,18.35540541,9.790685876,13.65733974,7.826551959,4.530153939,2.135107786,1.979482699,-0.682546316,1.938171299,-1.38573516,-5.916751603
Africa Western and Central,AFW,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,3.831623365,0.637087171,-2.147090534,3.186955749,3.806191123,1.397925728,3.245965226,1.870613818,3.940226828,1.900517384,1.781970164,0.671012068,1.716160659,2.544503229,2.590228962,3.892125797,4.348658461,3.659514428,3.944701132,6.603819678,9.045956284,3.220933068,15.8387745,9.146460787,10.7676752,11.32782552,11.05791184,9.753913906,10.90784705,4.713113756,5.614147401,8.00589673,6.581079244,3.218764107,0.795450542,0.460606565,2.587045987,3.070792142,-1.62935987
Angola,AGO,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171442644,7.482411117,8.611948316,8.617833319,5.602910053,12.91811405,8.968238726,6.642326089,10.52280185,5.662101366,7.740442741,10.07665749,-4.837994102,-5.243185052,1.480988462,0.261255048,0.913255047,-2.440277206
Albania,ALB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.12094911,6.250936143,18.3715175,-1.372302686,7.620042694,4.197748301,1.203728302,4.879422637,6.951674164,5.128637055,7.874548499,5.333054918,5.417210948,2.493634259,3.034478462,3.209817776,0.314773492,5.023430054,2.793345064,4.287493918,6.023943945,2.855060988,3.794511207,-4.720364051
Andorra,AND,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78217662,7.6006531,5.620670867,2.379304328,12.40525051,6.779032997,6.21527361,8.497179416,6.704663296,3.637303976,5.803622556,4.652026255,4.752826247,5.600412066,4.326498836,3.025393524,2.054646046,3.064507706,2.822385417,2.975850244,-4.164618381
United Arab Emirates,ARE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58549448,10.73038635,9.906861259,7.726582135,4.989945695,13.07273541,4.050683527,-2.727604004,1.528657748,5.206299079,5.704775054,7.434147899,7.508472455,4.580200858,3.636654087,5.044237373,0.585758895,4.243609316,-6.94053117
Argentina,ARG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,-1.528094858,2.54109364,1.840477981,8.827984912,10.58888755,4.949535955,0.652333017,3.811232524,5.260517526,0.977642728,-3.401488788,6.046758015,-1.788927365,11.04033574,8.428728218,-2.313216866,-0.650503347,3.857191673,2.013124401,-3.839809965,5.136308399,3.022417817,-0.375607405,-5.537751664,-1.710036307,9.388580276,6.941984111,7.289319434,6.389031541,-2.344851734,5.677332311,7.875056707,4.701107651,-1.942936594,0.343091493,-4.34830177,-9.715289924,4.245832101,6.87726661,9.100513306,8.505427581,9.088671963,5.129031423,-2.054639568,7.089823509,6.444826911,0.668753019,1.909762038,-1.644377543,2.660138013,-0.008736041,2.573445885,-0.787070431,-3.080528753,-10.59210854
Armenia,ARM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769695825,57.73399438,-22.68866053,7.145310964,15.67376112,5.479763569,4.849786842,4.505515741,4.341650959,-6.134590714,9.946401701,16.3886017,12.57606506,12.88975045,16.49538497,22.16385889,10.75029722,5.335011144,-6.836173044,8.522912733,-1.739661797,5.357977219,2.749980302,6.790326729,0.97893033,3.839551144,11.12790772,9.454564835,10.00857388,-8.690480063
American Samoa,ASM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,2.536108552,9.361528158,6.5108677,2.87274428,3.258551762,7.588795842,10.94848998,6.330237249,6.165604982,3.986577396,4.718398406,4.89946804,4.572393012,2.369030086,1.474843801,7.991315197,6.859067653,-5.920345968,5.424303027,6.271367597,4.953475825,3.711272164,9.736143237,-3.19071225,-0.693504444,5.375651801,4.222925554,5.203145548,7.13557799,7.293370132,1.516739599,-11.22516143,-4.747574603,0.091574626,2.527688687,-0.020325808,3.954917118,3.744830646,3.811034483,1.276855826,4.400626224,6.297777871,-21.51790992
Australia,AUS,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,4.194136842,0.491508091,6.720198823,1.754951239,0.840236404,4.047611622,3.071931589,1.549287426,1.871289175,2.762149423,1.61692044,2.906524523,4.50391892,4.032239055,3.158018716,2.936293848,0.921700076,1.369703486,3.274593619,2.041731938,2.347976053,4.362048619,3.303250288,3.905914134,1.274503512,2.692050932,0.608145528,2.710010936,2.563785167,3.915967699,3.206863386,2.381093313,-1.050184829,1.476286522,2.786637167,0.301775143,0.01727826,0.914924621,1.169078264,1.513862705,1.829598454,2.449372258,2.039495827,-7.303379672
Azerbaijan,AZE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.36500657,-4.687972155,-11.93249266,-5.880049772,2.663785237,2.188211136,14.87636247,6.309438966,11.97606752,6.011134832,7.522211254,8.2298935,6.589528689,17.79204276,12.95643828,13.93343914,8.728220674,9.217707599,7.021052345,9.025795539,9.176560735,9.124939359,5.520279428,1.124243473,4.478412854,5.188757655,6.134139969,-3.908705931
Burundi,BDI,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.590000008,4.590000035,-6.230151811,-6.230151792,-6.230151837,-6.23015177,-6.230151812,-2.176920204,7.477249501,16.77503339,6.603632754,5.364914189,5.775938996,6.978736458,6.962924096,2.828235294,8.780819961,0.385989291,0.725454248,0.553185692,0.742584472,0.992324647,-1.76194935
Belgium,BEL,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.480233647,2.95788349,1.94434254,3.875723115,2.790049238,1.958271862,2.047893324,1.400160477,2.622162886,2.520467603,2.926271543,3.435823466,1.649528204,-1.105246679,2.269533701,2.175089122,1.55261571,0.71902059,1.280525805,1.897315909,1.531597364,1.666024229,2.372801441,1.966997791,-5.868231649
Benin,BEN,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,1.388402471,6.573556673,-0.936857283,9.841197347,-2.162779034,-1.323491779,6.182296621,-2.155830935,7.375957273,10.91595729,17.97108131,-4.240180951,-6.574545752,2.017023778,5.931458165,8.004985918,1.881715567,-3.128535048,-12.49512882,14.36940774,1.366154165,2.840377831,5.105195746,0.179564149,6.943447202,2.264006458,6.170111147,4.214635484,5.896489711,12.51464694,7.448235244,2.532759563,5.711356475,3.171725847,4.859523362,5.481408309,8.288261992,12.90262818,-0.341556774,2.429125284,8.711358193,5.60945995,8.75567464,4.988389781,-0.024821292,1.851688747,5.462127354,5.700311558,5.217024328,4.85662036
Burkina Faso,BFA,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,0.343894583,7.543875626,-4.168472054,16.83612821,-4.309262156,7.635702387,16.38399784,4.738221733,20.13479093,-4.798795751,5.330213357,15.30696581,3.262069809,-2.276928459,9.077328585,5.298995459,2.158953646,2.471811914,5.450391744,-0.120866923,5.211210183,-2.50718786,-0.354161255,-4.944443144,7.624774314,13.85615766,7.797614154,2.891480185,-0.059618555,9.200659173,7.210837005,6.91206337,4.287430796,7.85212663,9.130450363,10.22745139,4.518903098,3.225319243,5.938686912,2.664269088,6.561330967,8.593800638,5.426712723,5.06286248,5.595306081,6.676968278,6.183064801,5.088144017,7.837336408,-5.50535856
